date,home_team,away_team,home_score,away_score,tournament
1979-10-17,Belgium,Portugal,2,0,UEFA Euro qualification
1980-01-23,Spain,Netherlands,1,0,Friendly
1980-02-25,Morocco,Senegal,3,2,Friendly
1980-03-15,Italy,Uruguay,1,0,Friendly
1980-03-18,Belgium,Uruguay,2,0,Friendly
1980-03-26,France,Netherlands,0,0,Friendly
1980-03-26,Spain,England,0,2,Friendly
1980-05-13,England,Argentina,3,1,Friendly
1980-06-08,Brazil,Mexico,2,0,Friendly
1980-06-12,Belgium,England,1,1,UEFA Euro
1980-06-12,Italy,Spain,0,0,UEFA Euro
1980-06-14,Germany,Netherlands,3,2,UEFA Euro
1980-06-15,Belgium,Spain,2,1,UEFA Euro
1980-06-15,Italy,England,1,0,UEFA Euro
1980-06-18,Italy,Belgium,0,0,UEFA Euro
1980-06-18,Spain,England,1,2,UEFA Euro
1980-06-22,Belgium,Germany,1,2,UEFA Euro
1980-06-22,Senegal,Morocco,0,1,FIFA World Cup qualification
1980-07-06,Morocco,Senegal,0,0,FIFA World Cup qualification
1980-08-27,Brazil,Uruguay,1,0,Friendly
1980-09-24,Italy,Portugal,3,1,Friendly
1980-10-07,Portugal,United States,1,1,Friendly
1980-10-11,Netherlands,Germany,1,1,Friendly
1980-11-09,Mexico,United States,5,1,CONCACAF Championship qualification
1980-11-19,Belgium,Netherlands,1,0,FIFA World Cup qualification
1980-11-19,Germany,France,4,1,Friendly
1980-11-23,United States,Mexico,2,1,CONCACAF Championship qualification
1980-12-30,Uruguay,Netherlands,2,0,Mundialito
1981-01-01,Argentina,Germany,2,1,Mundialito
1981-01-03,Uruguay,Italy,2,0,Mundialito
1981-01-04,Argentina,Brazil,1,1,Mundialito
1981-01-06,Netherlands,Italy,1,1,Mundialito
1981-01-07,Brazil,Germany,4,1,Mundialito
1981-01-10,Uruguay,Brazil,2,1,Mundialito
1981-02-01,Colombia,Brazil,1,1,Friendly
1981-02-18,Spain,France,1,0,Friendly
1981-03-25,England,Spain,1,2,Friendly
1981-03-25,Netherlands,France,1,0,FIFA World Cup qualification
1981-04-29,France,Belgium,3,2,FIFA World Cup qualification
1981-05-12,England,Brazil,0,1,Friendly
1981-05-15,France,Brazil,1,3,Friendly
1981-05-19,Germany,Brazil,1,2,Friendly
1981-06-20,Portugal,Spain,2,0,Friendly
1981-07-02,Colombia,Spain,1,1,Friendly
1981-07-08,Brazil,Spain,1,0,Friendly
1981-08-09,Uruguay,Colombia,3,2,FIFA World Cup qualification
1981-09-09,Belgium,France,2,0,FIFA World Cup qualification
1981-09-13,Colombia,Uruguay,1,1,FIFA World Cup qualification
1981-10-14,Netherlands,Belgium,3,0,FIFA World Cup qualification
1981-11-01,Senegal,Morocco,2,0,Friendly
1981-11-18,France,Netherlands,2,0,FIFA World Cup qualification
1981-12-16,Spain,Belgium,2,0,Friendly
1982-02-17,Germany,Portugal,3,1,Friendly
1982-02-23,France,Italy,2,0,Friendly
1982-03-21,Brazil,Germany,1,0,Friendly
1982-03-24,Argentina,Germany,1,1,Friendly
1982-05-05,Brazil,Portugal,3,1,Friendly
1982-05-12,Morocco,Senegal,2,1,Friendly
1982-05-25,England,Netherlands,2,0,Friendly
1982-06-13,Argentina,Belgium,0,1,FIFA World Cup
1982-06-16,England,France,3,1,FIFA World Cup
1982-06-29,Germany,England,0,0,FIFA World Cup
1982-06-29,Italy,Argentina,2,1,FIFA World Cup
1982-07-02,Argentina,Brazil,1,3,FIFA World Cup
1982-07-02,Spain,Germany,1,2,FIFA World Cup
1982-07-05,Italy,Brazil,3,2,FIFA World Cup
1982-07-05,Spain,England,0,0,FIFA World Cup
1982-07-08,Germany,France,3,3,FIFA World Cup
1982-07-11,Italy,Germany,3,1,FIFA World Cup
1982-09-22,Germany,Belgium,0,0,Friendly
1982-10-13,England,Germany,1,2,Friendly
1982-11-10,Netherlands,France,1,2,Friendly
1983-02-16,Portugal,France,0,3,Friendly
1983-02-16,Spain,Netherlands,1,0,UEFA Euro qualification
1983-02-23,Portugal,Germany,1,0,Friendly
1983-03-09,Senegal,Morocco,1,0,Friendly
1983-03-10,Senegal,Morocco,0,0,Friendly
1983-05-31,Belgium,France,1,1,Friendly
1983-06-08,Portugal,Brazil,0,4,Friendly
1983-08-24,Argentina,Brazil,1,0,Copa América
1983-09-14,Brazil,Argentina,0,0,Copa América
1983-09-21,Belgium,Netherlands,1,1,Friendly
1983-10-05,France,Spain,1,1,Friendly
1983-10-27,Uruguay,Brazil,2,0,Copa América
1983-11-04,Brazil,Uruguay,1,1,Copa América
1983-11-16,Netherlands,Spain,2,1,UEFA Euro qualification
1984-02-04,Italy,Mexico,5,0,Friendly
1984-02-29,Belgium,Germany,0,1,Friendly
1984-02-29,France,England,2,0,Friendly
1984-04-18,France,Germany,1,0,Friendly
1984-05-22,Germany,Italy,1,0,Friendly
1984-05-30,United States,Italy,0,0,Friendly
1984-06-10,Brazil,England,0,2,Friendly
1984-06-13,Uruguay,England,2,0,Friendly
1984-06-14,Germany,Portugal,0,0,UEFA Euro
1984-06-16,France,Belgium,5,0,UEFA Euro
1984-06-17,Brazil,Argentina,0,0,Friendly
1984-06-17,Portugal,Spain,1,1,UEFA Euro
1984-06-20,Germany,Spain,0,1,UEFA Euro
1984-06-21,Brazil,Uruguay,1,0,Friendly
1984-06-23,France,Portugal,3,2,UEFA Euro
1984-06-23,Morocco,Senegal,2,1,Friendly
1984-06-27,France,Spain,2,0,UEFA Euro
1984-07-18,Uruguay,Argentina,1,0,Friendly
1984-08-02,Argentina,Uruguay,0,0,Friendly
1984-08-24,Colombia,Argentina,1,0,Friendly
1984-09-05,Belgium,Argentina,0,2,Friendly
1984-09-12,Germany,Argentina,1,3,Friendly
1984-09-18,Mexico,Argentina,1,1,Friendly
1984-10-09,Mexico,Colombia,1,0,Friendly
1984-10-11,United States,Colombia,1,0,Friendly
1984-10-17,Mexico,United States,2,1,Friendly
1984-10-25,Argentina,Mexico,1,1,Friendly
1984-10-31,Uruguay,Mexico,1,1,Friendly
1985-02-24,Portugal,Germany,1,2,FIFA World Cup qualification
1985-02-24,Uruguay,Colombia,3,0,Friendly
1985-04-03,Italy,Portugal,2,0,Friendly
1985-04-25,Brazil,Colombia,2,1,Friendly
1985-04-28,Colombia,Uruguay,2,1,Friendly
1985-05-02,Brazil,Uruguay,2,0,Friendly
1985-05-05,Brazil,Argentina,2,1,Friendly
1985-05-15,Colombia,Brazil,1,0,Friendly
1985-05-26,Japan,Uruguay,1,4,Kirin Cup
1985-06-02,Colombia,Argentina,1,3,FIFA World Cup qualification
1985-06-02,Mexico,Italy,1,1,Friendly
1985-06-06,England,Italy,1,2,Friendly
1985-06-09,Mexico,England,1,0,Friendly
1985-06-12,England,Germany,3,0,Friendly
1985-06-15,Mexico,Germany,2,0,Friendly
1985-06-16,Argentina,Colombia,1,0,FIFA World Cup qualification
1985-06-16,United States,England,0,5,Friendly
1985-08-21,France,Uruguay,2,0,CONMEBOL–UEFA Cup of Champions
1985-10-16,Belgium,Netherlands,1,0,FIFA World Cup qualification
1985-10-16,Germany,Portugal,0,1,FIFA World Cup qualification
1985-11-14,Mexico,Argentina,1,1,Friendly
1985-11-17,Mexico,Argentina,1,1,Friendly
1985-11-20,Netherlands,Belgium,2,1,FIFA World Cup qualification
1986-02-05,Italy,Germany,1,2,Friendly
1986-02-19,Spain,Belgium,3,0,Friendly
1986-03-12,Germany,Brazil,2,0,Friendly
1986-03-26,France,Argentina,2,0,Friendly
1986-04-13,Mexico,Uruguay,1,0,Friendly
1986-05-14,Germany,Netherlands,3,1,Friendly
1986-05-17,Mexico,England,0,3,Friendly
1986-06-01,Spain,Brazil,0,1,FIFA World Cup
1986-06-03,Mexico,Belgium,2,1,FIFA World Cup
1986-06-03,Portugal,England,1,0,FIFA World Cup
1986-06-04,Uruguay,Germany,1,1,FIFA World Cup
1986-06-05,Italy,Argentina,1,1,FIFA World Cup
1986-06-06,England,Morocco,0,0,FIFA World Cup
1986-06-11,Portugal,Morocco,1,3,FIFA World Cup
1986-06-16,Argentina,Uruguay,1,0,FIFA World Cup
1986-06-17,Italy,France,0,2,FIFA World Cup
1986-06-17,Morocco,Germany,0,1,FIFA World Cup
1986-06-21,Brazil,France,1,1,FIFA World Cup
1986-06-21,Mexico,Germany,0,0,FIFA World Cup
1986-06-22,Argentina,England,2,1,FIFA World Cup
1986-06-22,Spain,Belgium,1,1,FIFA World Cup
1986-06-25,Argentina,Belgium,2,0,FIFA World Cup
1986-06-25,France,Germany,0,2,FIFA World Cup
1986-06-28,France,Belgium,4,2,FIFA World Cup
1986-06-29,Argentina,Germany,3,2,FIFA World Cup
1986-10-15,Germany,Spain,2,2,Friendly
1987-01-21,Spain,Netherlands,1,1,Friendly
1987-02-04,Portugal,Belgium,1,0,Friendly
1987-02-14,Portugal,Italy,0,1,UEFA Euro qualification
1987-02-18,Spain,England,2,4,Friendly
1987-04-18,Germany,Italy,0,0,Friendly
1987-05-19,England,Brazil,1,1,Rous Cup
1987-05-27,Japan,Senegal,2,2,Kirin Cup
1987-06-10,Argentina,Italy,1,3,Friendly
1987-07-09,Argentina,Uruguay,0,1,Copa América
1987-07-11,Argentina,Colombia,1,2,Copa América
1987-08-12,Germany,France,2,1,Friendly
1987-09-09,Germany,England,3,1,Friendly
1987-09-09,Netherlands,Belgium,0,0,Friendly
1987-12-05,Italy,Portugal,3,0,UEFA Euro qualification
1987-12-12,Brazil,Germany,1,1,Friendly
1987-12-16,Argentina,Germany,1,0,Friendly
1988-02-05,France,Morocco,2,1,Tournoi de France
1988-03-23,England,Netherlands,2,2,Friendly
1988-03-23,France,Spain,2,1,Friendly
1988-04-02,Germany,Argentina,1,0,Four Nations Tournament
1988-05-24,England,Colombia,1,1,Rous Cup
1988-06-10,Germany,Italy,1,1,UEFA Euro
1988-06-14,Italy,Spain,1,0,UEFA Euro
1988-06-15,England,Netherlands,1,3,UEFA Euro
1988-06-17,Germany,Spain,2,0,UEFA Euro
1988-06-21,Germany,Netherlands,1,2,UEFA Euro
1988-07-10,Argentina,Brazil,0,0,Friendly
1988-08-07,Colombia,Uruguay,2,1,Friendly
1988-10-12,Belgium,Brazil,1,2,Friendly
1988-10-12,Spain,Argentina,1,1,Friendly
1988-10-19,Germany,Netherlands,0,0,FIFA World Cup qualification
1988-11-16,Italy,Netherlands,1,0,Friendly
1989-02-15,Portugal,Belgium,1,1,FIFA World Cup qualification
1989-03-09,Colombia,Argentina,1,0,Friendly
1989-04-22,Italy,Uruguay,1,1,Friendly
1989-04-26,Netherlands,Germany,1,1,FIFA World Cup qualification
1989-06-08,Brazil,Portugal,4,0,Friendly
1989-06-24,United States,Colombia,0,1,Friendly
1989-07-07,Brazil,Colombia,0,0,Copa América
1989-07-08,Uruguay,Argentina,0,1,Copa América
1989-07-12,Brazil,Argentina,2,0,Copa América
1989-07-14,Argentina,Uruguay,0,2,Copa América
1989-07-16,Brazil,Uruguay,1,0,Copa América
1989-07-23,Brazil,Japan,1,0,Friendly
1989-08-06,Uruguay,Colombia,0,0,Friendly
1989-09-06,Belgium,Portugal,3,0,FIFA World Cup qualification
1989-10-14,Italy,Brazil,0,1,Friendly
1989-11-15,England,Italy,0,0,Friendly
1989-12-20,Netherlands,Brazil,0,1,Friendly
1989-12-21,Italy,Argentina,0,0,Friendly
1990-01-17,Mexico,Argentina,2,0,Friendly
1990-02-02,Colombia,Uruguay,0,2,Miami Cup
1990-02-04,United States,Colombia,1,1,Miami Cup
1990-02-21,Netherlands,Italy,0,0,Friendly
1990-02-28,France,Germany,2,1,Friendly
1990-03-20,Mexico,Uruguay,2,1,Friendly
1990-03-28,England,Brazil,1,0,Friendly
1990-04-17,Mexico,Colombia,2,0,Friendly
1990-04-22,United States,Colombia,0,1,Friendly
1990-04-25,Germany,Uruguay,3,3,Friendly
1990-05-22,England,Uruguay,1,2,Friendly
1990-06-02,Belgium,Mexico,3,0,Friendly
1990-06-13,Uruguay,Spain,0,0,FIFA World Cup
1990-06-14,Italy,United States,1,0,FIFA World Cup
1990-06-16,England,Netherlands,0,0,FIFA World Cup
1990-06-17,Belgium,Uruguay,3,1,FIFA World Cup
1990-06-19,Germany,Colombia,1,1,FIFA World Cup
1990-06-21,Belgium,Spain,1,2,FIFA World Cup
1990-06-24,Brazil,Argentina,0,1,FIFA World Cup
1990-06-24,Germany,Netherlands,2,1,FIFA World Cup
1990-06-25,Italy,Uruguay,2,0,FIFA World Cup
1990-06-26,England,Belgium,1,0,FIFA World Cup
1990-07-03,Italy,Argentina,1,1,FIFA World Cup
1990-07-04,Germany,England,1,1,FIFA World Cup
1990-07-07,Italy,England,2,1,FIFA World Cup
1990-07-08,Germany,Argentina,1,0,FIFA World Cup
1990-08-29,Portugal,Germany,1,1,Friendly
1990-09-12,Spain,Brazil,3,0,Friendly
1990-09-26,Italy,Netherlands,1,0,Friendly
1990-10-17,Croatia,United States,2,1,Friendly
1990-10-17,Portugal,Netherlands,1,0,UEFA Euro qualification
1990-12-12,Mexico,Brazil,0,0,Friendly
1990-12-19,Portugal,United States,1,0,Friendly
1991-01-16,Spain,Portugal,1,1,Friendly
1991-01-29,Mexico,Colombia,0,0,Friendly
1991-02-13,Italy,Belgium,0,0,Friendly
1991-02-20,France,Spain,3,1,UEFA Euro qualification
1991-03-12,United States,Mexico,2,2,NAFU Championship
1991-03-13,Argentina,Mexico,0,0,Friendly
1991-03-27,Argentina,Brazil,3,3,Friendly
1991-05-01,Germany,Belgium,1,0,UEFA Euro qualification
1991-05-05,United States,Uruguay,1,0,Friendly
1991-05-07,Mexico,Uruguay,0,2,Friendly
1991-05-19,United States,Argentina,0,1,Friendly
1991-05-25,England,Argentina,2,2,Friendly
1991-06-27,Brazil,Argentina,1,1,Friendly
1991-07-05,United States,Mexico,2,0,Gold Cup
1991-07-11,Brazil,Uruguay,1,1,Copa América
1991-07-13,Brazil,Colombia,0,2,Copa América
1991-07-15,Colombia,Uruguay,0,1,Copa América
1991-07-17,Argentina,Brazil,3,2,Copa América
1991-07-19,Brazil,Colombia,2,0,Copa América
1991-07-21,Argentina,Colombia,2,1,Copa América
1991-09-04,Spain,Uruguay,2,1,Friendly
1991-09-11,England,Germany,0,1,Friendly
1991-10-12,Spain,France,1,2,UEFA Euro qualification
1991-10-16,Netherlands,Portugal,1,0,UEFA Euro qualification
1991-11-20,Belgium,Germany,0,1,UEFA Euro qualification
1991-11-20,Mexico,Uruguay,1,1,Friendly
1992-01-15,Portugal,Spain,0,0,Friendly
1992-02-12,Portugal,Netherlands,2,0,Friendly
1992-02-19,England,France,2,0,Friendly
1992-02-26,Brazil,United States,3,0,Friendly
1992-03-11,Spain,United States,2,0,Friendly
1992-03-18,Morocco,United States,3,1,Friendly
1992-03-25,France,Belgium,3,3,Friendly
1992-03-25,Italy,Germany,1,0,Friendly
1992-04-30,Uruguay,Brazil,1,0,Friendly
1992-05-17,England,Brazil,1,1,Friendly
1992-05-30,Japan,Argentina,0,1,Kirin Cup
1992-05-31,Italy,Portugal,0,0,USA Cup
1992-06-03,United States,Portugal,1,0,USA Cup
1992-06-05,France,Netherlands,1,1,Friendly
1992-06-06,United States,Italy,1,1,USA Cup
1992-06-14,France,England,0,0,UEFA Euro
1992-06-18,Netherlands,Germany,3,1,UEFA Euro
1992-07-31,Brazil,Mexico,5,0,Friendly
1992-07-31,United States,Colombia,0,1,Friendly
1992-08-02,Mexico,Colombia,0,0,Friendly
1992-08-02,United States,Brazil,0,1,Friendly
1992-08-26,France,Brazil,0,2,Friendly
1992-09-09,Netherlands,Italy,2,3,Friendly
1992-09-09,Spain,England,1,0,Friendly
1992-09-23,Uruguay,Argentina,0,0,Copa Lipton
1992-10-14,Germany,Mexico,1,1,Friendly
1992-10-22,Croatia,Mexico,3,0,Friendly
1992-11-25,Brazil,Uruguay,1,2,Friendly
1992-12-16,Brazil,Germany,3,1,Friendly
1992-12-20,Uruguay,Germany,1,4,Friendly
1993-01-20,Italy,Mexico,2,0,Friendly
1993-01-27,Spain,Mexico,1,1,Friendly
1993-02-18,Argentina,Brazil,1,1,Friendly
1993-02-24,Portugal,Italy,1,3,FIFA World Cup qualification
1993-03-14,Japan,United States,3,1,Kirin Cup
1993-04-18,Morocco,Senegal,1,0,FIFA World Cup qualification
1993-04-28,England,Netherlands,2,2,FIFA World Cup qualification
1993-05-08,United States,Colombia,1,2,Friendly
1993-06-06,United States,Brazil,0,2,USA Cup
1993-06-09,United States,England,2,0,USA Cup
1993-06-10,Brazil,Germany,3,3,USA Cup
1993-06-13,Brazil,England,1,1,USA Cup
1993-06-13,United States,Germany,3,4,USA Cup
1993-06-16,Colombia,Mexico,2,1,Copa América
1993-06-16,Uruguay,United States,1,0,Copa América
1993-06-19,England,Germany,1,2,USA Cup
1993-06-20,Argentina,Mexico,1,1,Copa América
1993-06-23,Argentina,Colombia,1,1,Copa América
1993-06-26,Colombia,Uruguay,1,1,Copa América
1993-06-27,Brazil,Argentina,1,1,Copa América
1993-07-01,Colombia,Argentina,0,0,Copa América
1993-07-04,Argentina,Mexico,2,1,Copa América
1993-07-17,Senegal,Morocco,1,3,FIFA World Cup qualification
1993-07-25,Mexico,United States,4,0,Gold Cup
1993-08-08,Brazil,Mexico,1,1,Friendly
1993-08-15,Colombia,Argentina,2,1,FIFA World Cup qualification
1993-08-15,Uruguay,Brazil,1,1,FIFA World Cup qualification
1993-09-05,Argentina,Colombia,0,5,FIFA World Cup qualification
1993-09-19,Brazil,Uruguay,2,0,FIFA World Cup qualification
1993-10-13,Germany,Uruguay,5,0,Friendly
1993-10-13,Netherlands,England,2,0,FIFA World Cup qualification
1993-10-13,United States,Mexico,1,1,Friendly
1993-11-17,Germany,Brazil,2,1,Friendly
1993-11-17,Italy,Portugal,1,0,FIFA World Cup qualification
1993-12-15,Argentina,Germany,2,1,Friendly
1993-12-16,Mexico,Brazil,0,1,Friendly
1993-12-18,United States,Germany,0,3,Friendly
1993-12-22,Mexico,Germany,0,0,Friendly
1994-01-19,Spain,Portugal,2,2,Friendly
1994-02-16,Italy,France,0,1,Friendly
1994-03-02,Mexico,Colombia,0,0,Friendly
1994-03-23,Brazil,Argentina,2,0,Friendly
1994-03-23,Germany,Italy,2,1,Friendly
1994-03-23,Spain,Croatia,0,2,Friendly
1994-04-20,Argentina,Morocco,3,1,Friendly
1994-05-29,Japan,France,1,4,Kirin Cup
1994-06-04,Croatia,Argentina,0,0,Friendly
1994-06-04,United States,Mexico,1,0,Friendly
1994-06-19,Belgium,Morocco,1,0,FIFA World Cup
1994-06-21,Germany,Spain,1,1,FIFA World Cup
1994-06-22,United States,Colombia,2,1,FIFA World Cup
1994-06-25,Belgium,Netherlands,1,0,FIFA World Cup
1994-06-28,Italy,Mexico,1,1,FIFA World Cup
1994-06-29,Morocco,Netherlands,1,2,FIFA World Cup
1994-07-02,Germany,Belgium,3,2,FIFA World Cup
1994-07-04,United States,Brazil,0,1,FIFA World Cup
1994-07-09,Italy,Spain,2,1,FIFA World Cup
1994-07-09,Netherlands,Brazil,2,3,FIFA World Cup
1994-07-17,Brazil,Italy,0,0,FIFA World Cup
1994-09-07,England,United States,2,0,Friendly
1994-11-16,Italy,Croatia,1,2,UEFA Euro qualification
1994-12-17,Belgium,Spain,1,4,UEFA Euro qualification
1995-01-08,Japan,Argentina,1,5,Confederations Cup
1995-01-18,Netherlands,France,0,1,Friendly
1995-01-18,Spain,Uruguay,2,2,Friendly
1995-02-01,Mexico,Uruguay,1,0,Friendly
1995-02-22,Netherlands,Portugal,0,1,Friendly
1995-02-22,Spain,Germany,0,0,Friendly
1995-03-01,Morocco,Senegal,2,0,Friendly
1995-03-22,Colombia,Uruguay,2,1,Friendly
1995-03-25,United States,Uruguay,2,2,Friendly
1995-03-29,England,Uruguay,0,0,Friendly
1995-03-29,Spain,Belgium,1,1,UEFA Euro qualification
1995-04-22,Belgium,United States,1,0,Friendly
1995-06-03,England,Japan,2,1,Friendly
1995-06-06,Brazil,Japan,3,0,Friendly
1995-06-11,England,Brazil,1,3,Friendly
1995-06-18,United States,Mexico,4,0,USA Cup
1995-06-21,Germany,Italy,2,0,Friendly
1995-06-21,Mexico,Colombia,0,0,USA Cup
1995-06-25,United States,Colombia,0,0,USA Cup
1995-07-13,Brazil,Colombia,3,0,Copa América
1995-07-13,Uruguay,Mexico,1,1,Copa América
1995-07-14,Argentina,United States,0,3,Copa América
1995-07-17,Brazil,Argentina,2,2,Copa América
1995-07-17,United States,Mexico,0,0,Copa América
1995-07-19,Uruguay,Colombia,2,0,Copa América
1995-07-20,United States,Brazil,0,1,Copa América
1995-07-22,Colombia,United States,4,1,Copa América
1995-07-23,Uruguay,Brazil,1,1,Copa América
1995-08-09,Japan,Brazil,1,5,Friendly
1995-08-23,Belgium,Germany,1,2,Friendly
1995-09-06,England,Colombia,0,0,Friendly
1995-09-20,Spain,Argentina,2,1,Friendly
1995-10-08,Croatia,Italy,1,1,UEFA Euro qualification
1995-10-11,Argentina,Colombia,0,0,Friendly
1995-10-11,Brazil,Uruguay,2,0,Friendly
1995-11-08,Argentina,Brazil,0,1,Friendly
1995-11-29,Mexico,Colombia,2,2,Friendly
1995-12-12,England,Portugal,1,1,Friendly
1995-12-20,Brazil,Colombia,3,1,Friendly
1996-01-18,United States,Brazil,0,1,Gold Cup
1996-01-21,Mexico,Brazil,2,0,Gold Cup
1996-02-21,Portugal,Germany,1,2,Friendly
1996-03-27,Belgium,France,0,2,Friendly
1996-04-24,England,Croatia,0,0,Friendly
1996-04-24,Netherlands,Germany,0,1,Friendly
1996-05-29,Italy,Belgium,2,2,Friendly
1996-05-29,Japan,Mexico,3,2,Kirin Cup
1996-06-01,Germany,France,0,1,Friendly
1996-06-15,France,Spain,1,1,UEFA Euro
1996-06-16,United States,Mexico,2,2,USA Cup
1996-06-18,England,Netherlands,4,1,UEFA Euro
1996-06-19,Croatia,Portugal,0,3,UEFA Euro
1996-06-19,Italy,Germany,0,0,UEFA Euro
1996-06-22,England,Spain,0,0,UEFA Euro
1996-06-22,France,Netherlands,0,0,UEFA Euro
1996-06-23,Germany,Croatia,2,1,UEFA Euro
1996-06-26,England,Germany,1,1,UEFA Euro
1996-07-07,Colombia,Uruguay,3,1,FIFA World Cup qualification
1996-08-25,Japan,Uruguay,5,3,Friendly
1996-08-31,France,Mexico,2,0,Friendly
1996-08-31,Netherlands,Brazil,2,2,Friendly
1996-12-11,Morocco,Croatia,2,2,King Hassan II Tournament
1996-12-14,Belgium,Netherlands,0,3,FIFA World Cup qualification
1996-12-14,Portugal,Germany,0,0,FIFA World Cup qualification
1997-01-12,Uruguay,Argentina,0,0,FIFA World Cup qualification
1997-01-19,United States,Mexico,0,2,USA Cup
1997-01-22,Portugal,France,0,2,Friendly
1997-02-12,Colombia,Argentina,0,1,FIFA World Cup qualification
1997-02-12,England,Italy,0,1,FIFA World Cup qualification
1997-02-26,France,Netherlands,2,1,Friendly
1997-03-29,England,Mexico,2,0,Friendly
1997-04-20,United States,Mexico,2,2,FIFA World Cup qualification
1997-04-30,Brazil,Mexico,4,0,Friendly
1997-06-03,France,Brazil,1,1,Tournoi de France
1997-06-04,England,Italy,2,0,Tournoi de France
1997-06-07,France,England,0,1,Tournoi de France
1997-06-08,Italy,Brazil,3,3,Tournoi de France
1997-06-08,Japan,Croatia,4,3,Kirin Cup
1997-06-08,Uruguay,Colombia,1,1,FIFA World Cup qualification
1997-06-10,England,Brazil,0,1,Tournoi de France
1997-06-11,France,Italy,2,2,Tournoi de France
1997-06-13,Mexico,Colombia,2,1,Copa América
1997-06-16,Brazil,Mexico,3,2,Copa América
1997-06-19,Brazil,Colombia,2,0,Copa América
1997-07-27,Morocco,Senegal,3,0,African Cup of Nations qualification
1997-08-13,Japan,Brazil,0,3,Friendly
1997-09-06,Germany,Portugal,1,1,FIFA World Cup qualification
1997-09-06,Netherlands,Belgium,3,1,FIFA World Cup qualification
1997-10-09,Brazil,Morocco,2,0,Friendly
1997-10-11,Italy,England,0,0,FIFA World Cup qualification
1997-10-12,Argentina,Uruguay,0,0,FIFA World Cup qualification
1997-11-02,Mexico,United States,0,0,FIFA World Cup qualification
1997-11-16,Argentina,Colombia,1,1,FIFA World Cup qualification
1997-12-16,Brazil,Mexico,3,2,Confederations Cup
1998-01-28,France,Spain,1,0,Friendly
1998-02-10,United States,Brazil,1,0,Gold Cup
1998-02-15,United States,Mexico,0,1,Gold Cup
1998-02-21,United States,Netherlands,0,2,Friendly
1998-02-24,Mexico,Netherlands,2,3,Friendly
1998-02-25,Belgium,United States,2,0,Friendly
1998-03-25,Germany,Brazil,1,2,Friendly
1998-04-22,England,Portugal,3,0,Friendly
1998-04-29,Brazil,Argentina,0,1,Friendly
1998-05-27,Belgium,France,0,1,King Hassan II Tournament
1998-05-27,Morocco,England,0,1,King Hassan II Tournament
1998-05-29,Belgium,England,0,0,King Hassan II Tournament
1998-05-29,Morocco,France,2,2,King Hassan II Tournament
1998-05-30,Germany,Colombia,3,1,Friendly
1998-05-31,Japan,Mexico,1,2,Friendly
1998-06-03,Belgium,Colombia,2,0,Friendly
1998-06-13,Netherlands,Belgium,0,0,FIFA World Cup
1998-06-14,Argentina,Japan,1,0,FIFA World Cup
1998-06-15,Germany,United States,2,0,FIFA World Cup
1998-06-16,Brazil,Morocco,3,0,FIFA World Cup
1998-06-20,Belgium,Mexico,2,2,FIFA World Cup
1998-06-20,Japan,Croatia,0,1,FIFA World Cup
1998-06-25,Netherlands,Mexico,2,2,FIFA World Cup
1998-06-26,Argentina,Croatia,1,0,FIFA World Cup
1998-06-26,Colombia,England,0,2,FIFA World Cup
1998-06-29,Germany,Mexico,2,1,FIFA World Cup
1998-06-30,Argentina,England,2,2,FIFA World Cup
1998-07-03,France,Italy,0,0,FIFA World Cup
1998-07-04,Germany,Croatia,0,3,FIFA World Cup
1998-07-04,Netherlands,Argentina,2,1,FIFA World Cup
1998-07-07,Brazil,Netherlands,1,1,FIFA World Cup
1998-07-08,France,Croatia,2,1,FIFA World Cup
1998-07-11,Netherlands,Croatia,1,2,FIFA World Cup
1998-07-12,France,Brazil,3,0,FIFA World Cup
1998-09-02,Morocco,Senegal,2,0,Friendly
1998-11-18,Germany,Netherlands,1,1,Friendly
1998-11-18,Italy,Spain,2,2,Friendly
1999-01-20,France,Morocco,1,0,Friendly
1999-02-06,United States,Germany,3,0,Friendly
1999-02-09,Colombia,Germany,3,3,Friendly
1999-02-10,England,France,0,2,Friendly
1999-02-10,Mexico,Argentina,0,1,Friendly
1999-02-10,Portugal,Netherlands,0,0,Friendly
1999-03-13,United States,Mexico,1,2,USA Cup
1999-03-31,Japan,Brazil,0,2,Friendly
1999-03-31,Netherlands,Argentina,1,1,Friendly
1999-04-28,Croatia,Italy,0,0,Friendly
1999-04-28,Netherlands,Morocco,1,2,Friendly
1999-05-05,Spain,Croatia,3,1,Friendly
1999-06-03,Japan,Belgium,0,0,Kirin Cup
1999-06-05,Brazil,Netherlands,2,2,Friendly
1999-06-08,Brazil,Netherlands,3,1,Friendly
1999-06-09,Mexico,Argentina,2,2,Friendly
1999-06-13,United States,Argentina,1,0,Friendly
1999-06-16,Croatia,Mexico,2,1,Korea Cup
1999-07-01,Uruguay,Colombia,0,1,Copa América
1999-07-03,Brazil,Mexico,2,1,Copa América
1999-07-04,Argentina,Colombia,0,3,Copa América
1999-07-07,Uruguay,Argentina,0,2,Copa América
1999-07-11,Brazil,Argentina,2,1,Copa América
1999-07-14,Mexico,Brazil,0,2,Copa América
1999-07-18,Brazil,Uruguay,3,0,Copa América
1999-07-24,Brazil,Germany,4,0,Confederations Cup
1999-07-28,Brazil,United States,1,0,Confederations Cup
1999-07-30,United States,Germany,2,0,Confederations Cup
